pano,Constituency,YG_Con_Pct,YG_Lab_Pct,YG_LD_Pct,YG_SNP_Pct,YG_PC_Pct,YG_Grn_Pct,YG_UKIP_Pct,YG_Other_Pct,AC_Con_Pct,AC_Lab_Pct,AC_LD_Pct,AC_SNP_Pct,AC_PC_Pct,AC_Grn_Pct,AC_UKIP_Pct,AC_Other_Pct,AC_Con_Pr,AC_Lab_Pr,AC_LD_Pr,AC_SNP_Pr,AC_PC_Pr,AC_Grn_Pr,AC_UKIP_Pr,AC_Other_Pr,H_Con_Pct,H_Lab_Pct,H_LD_Pct,H_SNP_Pct,H_PC_Pct,H_Grn_Pct,H_UKIP_Pct,H_Other_Pct,H_Con_Pr,H_Lab_Pr,H_LD_Pr,H_SNP_Pr,H_PC_Pr,H_Grn_Pr,H_UKIP_Pr,H_Other_Pr,BBC_Con_Pct,BBC_Lab_Pct,BBC_LD_Pct,BBC_SNP_Pct,BBC_PC_Pct,BBC_Grn_Pct,BBC_UKIP_Pct,BBC_Other_Pct,BBC_Con_Pr,BBC_Lab_Pr,BBC_LD_Pr,BBC_SNP_Pr,BBC_PC_Pr,BBC_Grn_Pr,BBC_UKIP_Pr,BBC_Other_Pr,BBC_Brexit,OC_Con_Pr,OC_Lab_Pr,OC_LD_Pr,OC_SNP_Pr,OC_PC_Pr,OC_Grn_Pr,OC_UKIP_Pr,OC_Other_Pr,OC_Con_Odd,OC_Lab_Odd,OC_LD_Odd,OC_SNP_Odd,OC_PC_Odd,OC_Grn_Odd,OC_UKIP_Odd,OC_Other_Odd
1,Aberavon,23,59.3,5.7,0,8,0,4,0,23,53,4,,14,,6,,1,99,0,0,0,0,0,0,13,51,4,0,12,0,20,0,0,100,0,0,0,0,0,0,24,56,4,0,12,0,3,0,0,100,0,0,0,0,0,0,60,2,97,,,1,,,,20,0.0625,,,33,,,
2,Aberconwy,44.5,42.9,4.2,0,8.4,0,0,0,49,32,6,,13,,,,92,8,0,0,0,0,0,0,41,38,6,0,12,0,0,0,73,27,0,0,0,0,0,0,51,34,4,0,12,0,0,0,100,0,0,0,0,0,0,0,53.4,96,4,,,,,,,0.050000001,12,,,,,,
3,Aberdeen North,18.9,26.9,5.1,41.2,0,0,0,8,23,23,6,47,,,,1,2,2,0,96,0,0,0,0,22,26,3,47,0,0,0,1,0,2,0,98,0,0,0,0,20,29,5,45,0,0,0,1,0,0,0,100,0,0,0,0,43.1,1,,,99,,,,,20,33,,0.024390243,,,,
4,Aberdeen South,35.3,23.9,4.5,36.3,0,0,0,0,33,24,6,37,,,,,32,10,0,58,0,0,0,0,33,26,4,37,0,0,0,0,29,2,0,69,0,0,0,0,34,28,8,30,0,0,0,0,63,11,0,26,0,0,0,0,32.3,47,,,53,,,,,1,,,0.833333313,,,,
5,West Aberdeenshire and Kincardine,39.7,12.5,10.2,37.7,0,0,0,0,42,8,15,35,,,,,64,0,0,36,0,0,0,0,41,9,15,34,0,0,0,0,77,0,0,23,0,0,0,0,46,2,22,30,0,0,0,0,100,0,0,0,0,0,0,0,38.6,80,,1,19,,,,,0.25,,16,4,,,,
6,Airdrie and Shotts,19.8,32.7,4.8,42.7,0,0,0,0,21,29,4,46,,,,,1,6,0,93,0,0,0,0,18,34,2,45,0,0,0,0,0,16,0,84,0,0,0,0,18,38,1,43,0,0,0,0,0,23,0,77,0,0,0,0,40.1,,1,,99,,,,,,25,,0.024390243,,,,
7,Aldershot,51.8,29.1,11,0,0,2.6,5.5,0,55,26,8,,,,7,3,99,1,0,0,0,0,0,0,55,22,9,0,0,2,13,0,100,0,0,0,0,0,0,0,59,27,9,0,0,2,3,0,100,0,0,0,0,0,0,0,57.9,99,,1,,,,,,0.024390243,,20,,,,,
8,Aldridge-Brownhills,62.3,29.3,4.8,0,0,0,0,3.5,65,28,5,,,,,2,100,0,0,0,0,0,0,0,65,27,5,0,0,0,0,1,100,0,0,0,0,0,0,0,63,34,2,0,0,0,0,0,100,0,0,0,0,0,0,0,67.8,100,,,,,,,,,,,,,,,
9,Altrincham and Sale West,48.6,35.2,11.1,0,0,1.9,0,3.2,53,34,10,,,,,2,94,6,0,0,0,0,0,0,59,27,12,0,0,2,0,0,100,0,0,0,0,0,0,0,49,38,12,0,0,2,0,0,99,1,0,0,0,0,0,0,38.5,100,,,,,,,,,,,,,,,
10,Alyn and Deeside,38.9,49.9,2.7,0,4.5,0,4,0,41,42,6,,4,,6,,46,54,0,0,0,0,0,0,27,47,6,0,3,0,16,0,0,100,0,0,0,0,0,0,50,41,3,0,4,0,3,0,97,3,0,0,0,0,0,0,57.7,46,54,,,,,,,1.200000048,0.899999976,,,,,,
11,Amber Valley,51.3,40.7,3.2,0,0,2.2,0,2.7,57,36,5,,,,,2,96,4,0,0,0,0,0,0,57,36,4,0,0,2,0,0,100,0,0,0,0,0,0,0,53,44,2,0,0,0,0,0,97,3,0,0,0,0,0,0,65.3,97,3,,,,,,,0.039999999,16,,,,,,
12,Angus,35.5,15.8,3.4,45.3,0,0,0,0,42,10,4,43,,,,,45,0,0,55,0,0,0,0,39,13,3,44,0,0,0,0,28,0,0,72,0,0,0,0,50,5,3,43,0,0,0,0,90,0,0,10,0,0,0,0,48.1,30,,,70,,,,,2.25,,,0.400000006,,,,
16,Arfon,20.7,40.9,1.7,0,36.8,0,0,0,20,41,4,,34,,,,2,71,0,0,27,0,0,0,14,37,4,0,44,0,0,0,0,23,0,0,77,0,0,0,16,37,2,0,45,0,0,0,0,6,0,0,94,0,0,0,34.9,,11,,,89,,,,,5.5,,,0.111111112,,,
17,Argyll and Bute,31.1,16.2,18.2,34.5,0,0,0,0,32,12,18,38,,,,,32,0,0,68,0,0,0,0,28,14,20,38,0,0,0,0,9,0,2,88,0,0,0,0,25,12,30,33,0,0,0,0,4,0,36,60,0,0,0,0,39.4,8,,15,77,,,,,9,,5,0.285714298,,,,
18,Arundel and South Downs,58.7,21.9,10.8,0,0,3.6,4.9,0,63,16,12,,,,5,4,100,0,0,0,0,0,0,0,63,16,9,0,0,2,10,0,100,0,0,0,0,0,0,0,66,23,7,0,0,0,4,0,100,0,0,0,0,0,0,0,50.7,100,,,,,,,,,,,,,,,
19,Ashfield,35.6,42.3,5.9,0,0,1.7,6.5,8,35,44,11,,,,8,2,24,76,0,0,0,0,0,0,35,38,10,0,0,1,15,1,38,62,0,0,0,0,0,0,28,51,16,0,0,0,6,0,0,100,0,0,0,0,0,0,70.6,40,60,,,,,,,1.375,0.615384638,,,,,,
20,Ashford,55.6,25,8.6,0,0,4.2,6.6,0,59,25,6,,,,7,3,100,0,0,0,0,0,0,0,56,22,7,0,0,1,14,0,100,0,0,0,0,0,0,0,61,27,5,0,0,2,4,0,100,0,0,0,0,0,0,0,59.7,100,,,,,,,,,,,,,,,
21,Ashton-under-Lyne,33.4,50.4,3.2,0,0,2.7,10.3,0,34,51,4,,,,9,3,7,93,0,0,0,0,0,0,29,50,3,0,0,1,17,0,0,100,0,0,0,0,0,0,28,62,2,0,0,2,6,0,0,100,0,0,0,0,0,0,61.8,7,93,,,,,,,7.5,0.083333336,,,,,,
22,Aylesbury,51.5,25.2,13.5,0,0,2,5.5,2.3,57,22,11,,,,7,3,100,0,0,0,0,0,0,0,53,20,10,0,0,2,14,0,100,0,0,0,0,0,0,0,55,27,11,0,0,2,4,0,100,0,0,0,0,0,0,0,52.1,100,,,,,,,,,,,,,,,
23,"Ayr, Carrick and Cumnock",33.6,24.6,3.3,38.5,0,0,0,0,36,22,3,39,,,,,42,0,0,58,0,0,0,0,29,27,2,42,0,0,0,0,4,5,0,91,0,0,0,0,34,27,1,37,0,0,0,0,35,1,0,64,0,0,0,0,43,18,,,82,,,,,4.5,,,0.222222224,,,,
24,Central Ayrshire,28.9,26.4,3,41.6,0,0,0,0,29,24,4,43,,,,,10,5,0,85,0,0,0,0,27,26,2,45,0,0,0,0,1,3,0,96,0,0,0,0,31,27,1,42,0,0,0,0,1,0,0,99,0,0,0,0,42.7,1,,,99,,,,,25,,,0.024390243,,,,
25,North Ayrshire and Arran,29.5,27.9,4.1,38.4,0,0,0,0,27,24,6,43,,,,,7,4,0,89,0,0,0,0,24,28,2,45,0,0,0,0,0,4,0,95,0,0,0,0,28,29,1,42,0,0,0,0,0,0,0,99,0,0,0,0,42.3,2,,,98,,,,,14,28,,0.030303031,,,,
26,Banbury,48.9,30.9,9.4,0,0,2.5,4.3,4,56,28,7,,,,5,3,99,1,0,0,0,0,0,0,56,24,8,0,0,1,10,1,100,0,0,0,0,0,0,0,54,34,5,0,0,3,3,1,100,0,0,0,0,0,0,0,50.5,100,,,,,,,,,,,,,,,
27,Banff and Buchan,39.2,11.9,2.6,46.3,0,0,0,0,42,9,4,46,,,,,36,0,0,64,0,0,0,0,38,11,3,48,0,0,0,0,17,0,0,83,0,0,0,0,44,1,6,49,0,0,0,0,25,0,0,75,0,0,0,0,54,26,,,74,,,,,2.75,,,0.333333343,,,,
28,Barking,22.4,63.5,2.6,0,0,2.4,7.9,1.2,27,59,3,,,,9,2,0,100,0,0,0,0,0,0,22,53,3,0,0,1,20,1,0,100,0,0,0,0,0,0,20,71,2,0,0,0,7,0,0,100,0,0,0,0,0,0,60.3,3,97,,,,,,,12,0.039999999,,,,,,
29,Barnsley Central,25.5,57,2.4,0,0,2.4,10.1,2.6,29,55,3,,,,9,4,1,99,0,0,0,0,0,0,24,52,4,0,0,0,17,2,0,100,0,0,0,0,0,0,18,69,2,0,0,1,7,3,0,100,0,0,0,0,0,0,68.4,3,97,,,,,,,11,0.039999999,,,,,,
30,Barnsley East,29.6,55.9,3.2,0,0,0,9.4,1.9,27,56,4,,,,10,3,1,99,0,0,0,0,0,0,23,51,5,0,0,0,18,3,0,100,0,0,0,0,0,0,18,68,2,0,0,0,8,4,0,100,0,0,0,0,0,0,70.8,3,97,,,,,,,12,0.039999999,,,,,,
31,Barrow and Furness,43.6,46,4.4,0,0,1.7,4.3,0,44,44,4,,,,5,2,52,48,0,0,0,0,0,0,47,40,4,0,0,1,8,0,88,12,0,0,0,0,0,0,47,50,2,0,0,1,1,0,39,61,0,0,0,0,0,0,56.8,76,24,,,,,,,0.300000012,3,,,,,,
32,Basildon and Billericay,50.4,34.6,7,0,0,0,7.9,0,57,30,5,,,,8,,99,1,0,0,0,0,0,0,54,25,5,0,0,0,16,0,100,0,0,0,0,0,0,0,60,34,2,0,0,0,4,0,100,0,0,0,0,0,0,0,66.9,100,,,,,,,,,,,,,,,
33,South Basildon and East Thurrock,49.6,30.8,3.4,0,0,2.3,12.3,1.7,54,30,3,,,,10,2,98,2,0,0,0,0,0,0,46,26,4,0,0,0,22,1,99,0,0,0,0,0,1,0,50,35,2,0,0,0,11,2,100,0,0,0,0,0,0,0,73.1,100,,,,,,,,,,,,,,,
34,Basingstoke,48.8,32.3,8.7,0,0,1.9,5.2,3.1,52,34,7,,,,5,1,94,6,0,0,0,0,0,0,52,28,7,0,0,0,11,1,100,0,0,0,0,0,0,0,50,43,7,0,0,0,0,1,91,9,0,0,0,0,0,0,53.6,100,,,,,,,,,,,,,,,
35,Bassetlaw,38.7,57.2,2.5,0,0,0,0,1.6,44,50,4,,,,,2,33,67,0,0,0,0,0,0,47,47,4,0,0,0,0,0,49,51,0,0,0,0,0,0,38,60,2,0,0,0,0,0,0,100,0,0,0,0,0,0,68.3,29,71,,,,,,,2.25,0.363636374,,,,,,
36,Bath,33.5,19.9,43.8,0,0,2.8,0,0,37,28,28,,,,,6,62,19,19,0,0,0,0,0,40,17,37,0,0,6,0,0,64,0,36,0,0,0,0,0,40,22,32,0,0,5,0,0,96,0,4,0,0,0,0,0,31.7,63,,37,,,,,,0.571428597,,1.625,,,,,
37,Batley and Spen,40.7,51.7,3.5,0,0,1.5,0,2.5,46,47,5,,,,,2,47,53,0,0,0,0,0,0,44,46,6,0,0,4,0,1,42,58,0,0,0,0,0,0,40,56,4,0,0,0,0,0,0,100,0,0,0,0,0,0,60.4,35,65,,,,,,,1.75,0.533333361,,,,,,
38,Battersea,39.5,43.9,9.6,0,0,2.7,1.7,2.7,43,41,12,,,,2,2,52,48,0,0,0,0,0,0,50,37,9,0,0,1,3,0,97,3,0,0,0,0,0,0,45,47,7,0,0,1,0,0,40,60,0,0,0,0,0,0,23,83,17,,,,,,,0.200000003,5,,,,,,
39,Beaconsfield,62.3,20.2,10.8,0,0,2.3,4.4,0,66,17,9,,,,6,3,100,0,0,0,0,0,0,0,65,16,9,0,0,1,9,0,100,0,0,0,0,0,0,0,63,21,11,0,0,2,3,0,100,0,0,0,0,0,0,0,49.3,100,,,,,,,,,,,,,,,
40,Beckenham,56.7,30.9,9.5,0,0,2.9,0,0,62,24,11,,,,,3,100,0,0,0,0,0,0,0,67,24,6,0,0,3,0,0,100,0,0,0,0,0,0,0,57,31,10,0,0,2,0,0,100,0,0,0,0,0,0,0,47.5,100,,,,,,,,,,,,,,,
41,Bedford,42.5,49.7,5.6,0,0,2.2,0,0,50,41,7,,,,,2,70,30,0,0,0,0,0,0,51,40,5,0,0,3,0,0,93,7,0,0,0,0,0,0,43,53,3,0,0,1,0,0,3,97,0,0,0,0,0,0,51.9,79,21,,,,,,,0.333333343,4.5,,,,,,
42,Mid Bedfordshire,53.5,33,7.9,0,0,1.9,0,3.8,65,23,9,,,,,3,100,0,0,0,0,0,0,0,67,20,8,0,0,4,0,1,100,0,0,0,0,0,0,0,61,29,7,0,0,2,0,1,100,0,0,0,0,0,0,0,52.3,100,,,,,,,,,,,,,,,
43,North East Bedfordshire,58.2,27.3,7.2,0,0,2,5.3,0,61,21,9,,,,6,3,100,0,0,0,0,0,0,0,62,20,6,0,0,1,10,0,100,0,0,0,0,0,0,0,62,28,5,0,0,2,4,0,100,0,0,0,0,0,0,0,53.3,100,,,,,,,,,,,,,,,
44,South West Bedfordshire,55.1,33,6.7,0,0,2.6,0,2.6,66,26,5,,,,,3,100,0,0,0,0,0,0,0,67,24,6,0,0,3,0,0,100,0,0,0,0,0,0,0,64,30,4,0,0,2,0,0,100,0,0,0,0,0,0,0,58.6,100,,,,,,,,,,,,,,,
49,Bermondsey and Old Southwark,14.2,46,34.4,0,0,2,2.1,1.2,14,51,29,,,,3,3,0,97,3,0,0,0,0,0,19,39,36,0,0,2,3,1,0,59,41,0,0,0,0,0,7,55,34,0,0,2,1,1,0,100,0,0,0,0,0,0,27,,77,23,,,,,,,0.300000012,3.333333254,,,,,
50,Berwick-upon-Tweed,46.8,21.3,30.3,0,0,1.7,0,0,49,26,22,,,,,3,97,2,1,0,0,0,0,0,59,17,22,0,0,3,0,0,100,0,0,0,0,0,0,0,46,26,26,0,0,2,0,0,100,0,0,0,0,0,0,0,55.6,93,,7,,,,,,0.083333336,,8,,,,,
51,"Berwickshire, Roxburgh and Selkirk",46.1,14.4,7.6,32,0,0,0,0,51,7,11,31,,,,,95,0,0,5,0,0,0,0,47,9,14,29,0,0,0,0,97,0,0,3,0,0,0,0,55,2,18,25,0,0,0,0,100,0,0,0,0,0,0,0,43.2,91,,,9,,,,,0.111111112,,28,7,,,,
52,Bethnal Green and Bow,17.7,64.5,8.4,0,0,4.5,3.2,1.6,18,66,7,,,,3,6,0,100,0,0,0,0,0,0,19,59,7,0,0,7,5,3,0,100,0,0,0,0,0,0,8,77,7,0,0,3,1,4,0,100,0,0,0,0,0,0,30.9,,100,,,,,,,,,,,,,,
53,Beverley and Holderness,55,35.4,5.3,0,0,2.1,0,2.2,59,31,7,,,,,3,99,1,0,0,0,0,0,0,58,29,8,0,0,4,0,1,100,0,0,0,0,0,0,0,52,41,5,0,0,2,0,1,99,1,0,0,0,0,0,0,58.8,100,,,,,,,,,,,,,,,
54,Bexhill and Battle,60.1,22.1,9.7,0,0,2.4,5.8,0,63,17,10,,,,6,3,100,0,0,0,0,0,0,0,58,19,8,0,0,2,13,0,100,0,0,0,0,0,0,0,62,27,8,0,0,0,3,0,100,0,0,0,0,0,0,0,57.7,100,,,,,,,,,,,,,,,
55,Bexleyheath and Crayford,48.4,32.2,5.5,0,0,2.1,9.7,2.1,56,29,4,,,,8,2,99,1,0,0,0,0,0,0,49,28,3,0,0,1,17,1,100,0,0,0,0,0,0,0,55,37,2,0,0,0,6,0,100,0,0,0,0,0,0,0,65,99,1,,,,,,,0.024390243,25,,,,,,
56,Birkenhead,22,73.2,2.8,0,0,2,0,0,23,69,5,,,,,3,0,100,0,0,0,0,0,0,26,67,4,0,0,2,0,0,0,100,0,0,0,0,0,0,17,79,2,0,0,2,0,0,0,100,0,0,0,0,0,0,51.7,,100,,,,,,,,,,,,,,
57,"Birmingham, Edgbaston",42.2,45.5,5.5,0,0,4,0,2.8,42,49,7,,,,,3,32,68,0,0,0,0,0,0,47,45,4,0,0,4,0,1,62,38,0,0,0,0,0,0,35,61,2,0,0,1,0,1,0,100,0,0,0,0,0,0,47.3,61,39,,,,,,,0.666666687,1.625,,,,,,
58,"Birmingham, Erdington",40.6,53.7,2.8,0,0,2.8,0,0,44,50,3,,,,,2,37,63,0,0,0,0,0,0,47,46,4,0,0,3,0,0,55,46,0,0,0,0,0,0,39,58,2,0,0,1,0,0,0,100,0,0,0,0,0,0,63,47,53,,,,,,,1.100000024,0.833333313,,,,,,
59,"Birmingham, Hall Green",20.8,68.9,7.4,0,0,2.9,0,0,23,64,9,,,,,3,0,100,0,0,0,0,0,0,27,57,12,0,0,4,0,0,0,100,0,0,0,0,0,0,11,75,11,0,0,3,0,0,0,100,0,0,0,0,0,0,33.6,,100,,,,,,,,,,,,,,
60,"Birmingham, Hodge Hill",19.1,69.9,3.3,0,0,2.3,5.3,0,20,67,6,,,,5,2,0,100,0,0,0,0,0,0,23,61,6,0,0,1,9,0,0,100,0,0,0,0,0,0,14,81,5,0,0,0,0,0,0,100,0,0,0,0,0,0,51.5,,100,,,,,,,,,,,,,,
61,"Birmingham, Ladywood",17.4,74.9,4.6,0,0,3.1,0,0,18,73,7,,,,,3,0,100,0,0,0,0,0,0,26,67,4,0,0,2,0,0,0,100,0,0,0,0,0,0,10,86,2,0,0,2,0,0,0,100,0,0,0,0,0,0,35.6,,100,,,,,,,,,,,,,,
62,"Birmingham, Northfield",43.9,51.3,2.6,0,0,2.2,0,0,49,44,5,,,,,2,65,35,0,0,0,0,0,0,50,43,4,0,0,3,0,0,86,14,0,0,0,0,0,0,45,52,2,0,0,1,0,0,7,93,0,0,0,0,0,0,61.8,65,35,,,,,,,0.5,1.75,,,,,,
63,"Birmingham, Perry Barr",27,61,4.2,0,0,2.9,0,5,35,57,5,,,,,3,2,98,0,0,0,0,0,0,36,55,5,0,0,3,0,1,0,100,0,0,0,0,0,0,26,69,4,0,0,1,0,1,0,100,0,0,0,0,0,0,51.2,1,99,,,,,,,16,0.024390243,,,,,,
64,"Birmingham, Selly Oak",34.4,58.4,3.9,0,0,3.2,0,0,36,55,6,,,,,3,5,95,0,0,0,0,0,0,41,47,6,0,0,6,0,0,16,84,0,0,0,0,0,0,27,69,5,0,0,0,0,0,0,100,0,0,0,0,0,0,46.9,28,72,,,,,,,2.5,0.363636374,,,,,,
65,"Birmingham, Yardley",19.9,51.5,17.5,0,0,2.5,6.1,2.5,26,48,16,,,,8,2,3,97,0,0,0,0,0,0,20,37,23,0,0,3,16,1,0,94,5,0,0,0,1,0,19,56,24,0,0,0,1,1,0,100,0,0,0,0,0,0,60.1,,79,21,,,,,,,0.285714298,4,,,,,
